state_abbrev,state_desc,county_name,tract_fips,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
VA,Virginia,Roanoke,51161031102,3641,13.1,16.8,33.7,6.5,10,6.1,76.1,7.6,20.9,10.7,33.1,24.2,36.7,33.4,3,POINT (-79.88946608 37.28266034)
VA,Virginia,Prince William,51153901504,3460,6.4,7.3,48.6,14.4,7.7,10.1,87.4,7.5,7.6,14.8,46.2,18.4,29,25.6,4.1,POINT (-77.59120221 38.8113452)
VA,Virginia,Goochland,51075400300,1406,18.5,17.8,32.9,3.1,10.8,3.1,74.6,4.9,25.9,8.9,24,25.2,42.8,45.1,2.2,POINT (-77.86218623 37.65590182)
VA,Virginia,Frederick,51069050100,4089,11.6,16.6,36.6,7.2,9.4,6.5,75.8,7.5,18.9,10.5,35.3,24.1,33.7,32.9,3,POINT (-78.08748691 39.25188578)
VA,Virginia,Newport News,51700032001,2850,9.8,14.4,40.5,8.5,8.8,7.2,79.5,6.9,14.1,12,36.2,20.3,34.4,31.5,3.3,POINT (-76.54732579 37.10337671)
VA,Virginia,Pittsylvania,51143010600,3034,15.9,11.7,47.2,8.6,10.9,10,81.2,11.8,23.9,17.5,39.1,33.4,39.7,36.6,5.6,POINT (-79.37691931 36.91375376)
VA,Virginia,Norfolk,51710006603,2400,13.7,15.4,35.9,7.1,9.9,6.9,76.4,7.5,19.5,11.3,32.5,23.5,34,37.3,3.5,POINT (-76.21016485 36.92172042)
VA,Virginia,Prince William,51153901510,4908,9.1,16.7,25.2,4.6,8.2,3.2,75.1,3.2,11.7,7.2,27.5,14.4,31.2,32.9,1.6,POINT (-77.65546774 38.83529896)
VA,Virginia,Loudoun,51107610300,6642,8.4,15.9,28.8,6.6,8.7,4.6,74.5,4.5,10.9,8.1,32.9,14.6,30.1,30.5,2,POINT (-77.55575899 39.20130555)
VA,Virginia,Virginia Beach,51810043003,4228,7.7,14.6,34.7,10.8,8.2,7.4,80.8,6,9.4,10.5,37.3,18.8,26.7,27.2,3.1,POINT (-76.07793282 36.90822239)
VA,Virginia,Nelson,51125950300,4413,12.8,14,40.4,7.9,9.7,7.6,78.6,8.1,17.8,13.1,36.5,25,36.1,34.2,3.8,POINT (-78.99114355 37.80567789)
VA,Virginia,Fairfax,51059482400,2378,6,15.8,27.9,7,7.6,4.2,75.1,3.4,6.8,7.5,34,11.5,21,28.2,1.8,POINT (-77.31043668 38.94033733)
VA,Virginia,Colonial Heights,51570830400,2629,15.4,15.4,36.5,6.4,10.9,7.3,77.4,9.1,23.3,12.3,31.6,29.2,42.8,38.3,3.8,POINT (-77.41243467 37.24644322)
VA,Virginia,Page,51139030300,5005,13.3,15.3,38.6,8.1,9.5,8,77.3,9.1,20.6,12.2,36.3,25.8,36,33.5,3.8,POINT (-78.41870872 38.62614445)
VA,Virginia,Richmond City,51760050400,2907,6.2,19,28,7.2,8.2,4.3,74.4,3.3,7.5,7.1,30.7,11.3,24.6,25.3,1.8,POINT (-77.51023397 37.57309614)
VA,Virginia,Prince William,51153901305,2999,11.1,16.5,30.3,6.2,8.9,5,76.2,5.3,14.7,8.8,31.9,17.5,33.2,32.4,2.3,POINT (-77.54885429 38.66918063)
VA,Virginia,Isle of Wight,51093280400,4039,13.7,15.2,40.5,6.9,10.6,7.1,78.1,8.4,21.1,13.6,35.8,26,38.1,37.8,3.9,POINT (-76.84318578 36.75087801)
VA,Virginia,Hampton,51650010311,4421,12.4,15.4,33.9,4.7,10.5,4.2,77.8,4.7,16.4,10.2,26.7,21.3,36.1,40.1,2.6,POINT (-76.41344162 37.05087139)
VA,Virginia,Portsmouth,51740980100,78,18.7,25.7,15.2,0.8,9.8,1.2,69,2.5,16,2.7,10.8,21.3,30.7,38.7,0.8,POINT (-76.29820633 36.81172571)
VA,Virginia,Virginia Beach,51810046010,3132,13.5,17.6,30.1,6,10.1,5.4,76.8,6.4,17.3,10.2,30.7,23.6,33.7,35.2,2.7,POINT (-76.18720979 36.83487115)
VA,Virginia,Fairfax,51059491704,4969,10.1,18.1,18.7,2.9,7.6,2,68.2,2.3,9.2,5.1,22.7,13.7,19.6,32.6,1.1,POINT (-77.36630136 38.85164875)
VA,Virginia,Richmond City,51760040900,2544,8.7,23.8,20.5,3.6,8.9,2.7,68.5,2.7,9.7,5.1,22.1,12,24.7,27.2,1.3,POINT (-77.47813484 37.55506187)
VA,Virginia,Fairfax,51059480902,3578,17.8,17.5,24.9,3.7,8.5,3.3,69.3,3.9,13.8,7.8,26.9,19.8,26.1,35.2,1.8,POINT (-77.38299563 38.96090894)
VA,Virginia,Frederick,51069050700,2740,12.5,17,35.2,6.7,9.6,6.2,75.1,7.3,19.7,10.1,33.7,24.6,33.8,33.4,2.9,POINT (-78.27133086 39.03538767)
VA,Virginia,Halifax,51083930800,4291,16.1,11.7,46.7,7.5,11.4,8.7,80.7,10.1,22.3,17.2,34.6,32.8,42.6,39.1,5.3,POINT (-78.90006332 36.71524513)
VA,Virginia,Loudoun,51107611804,4954,9.1,14.7,24.3,4.3,8,3.1,72.3,3.1,10.3,7.3,28,15.4,27.2,32.5,1.6,POINT (-77.49417061 38.91585951)
VA,Virginia,Alexandria,51510200802,2909,11.9,17.9,27.7,4.6,9.1,3.7,71.2,4,13.3,7.5,27.6,17.7,27.7,34.8,1.9,POINT (-77.07631075 38.80873934)
