state_fips,state_name,state_abbrev,county_fips,county_name,fips,location,area_sqmi,total_pop,housing_units,num_households,poverty,unemployment,housing_cost_burden,no_highschool,uninsured,age_over_65,age_under_17,disabilities,single_parent,limited_english,minority,multi_unit_housing,mobile_homes,crowded_housing,no_vehicle,group_quarters
11,District of Columbia,DC,11001,District of Columbia,11001007408,Census Tract 74.08; District of Columbia; District of Columbia,0.143764693598,4035,1640,1443,2531,469,601,219,228,330,1749,491,343,0,3979,445,0,175,657,402
11,District of Columbia,DC,11001,District of Columbia,11001007409,Census Tract 74.09; District of Columbia; District of Columbia,0.156322275046,3718,1835,1815,2063,488,976,641,130,494,1060,752,555,17,3706,684,0,90,974,0
11,District of Columbia,DC,11001,District of Columbia,11001007502,Census Tract 75.02; District of Columbia; District of Columbia,0.250316490334,5073,2181,1818,1805,564,687,455,203,646,1787,1019,424,0,5028,736,0,14,926,363
11,District of Columbia,DC,11001,District of Columbia,11001007503,Census Tract 75.03; District of Columbia; District of Columbia,0.198911642258,2518,1152,923,1177,211,428,200,68,168,915,320,140,15,2374,298,0,29,489,133
11,District of Columbia,DC,11001,District of Columbia,11001007504,Census Tract 75.04; District of Columbia; District of Columbia,0.295013202262,2795,1488,1300,1089,81,604,261,103,240,829,567,196,53,2770,626,0,40,613,56
11,District of Columbia,DC,11001,District of Columbia,11001007601,Census Tract 76.01; District of Columbia; District of Columbia,0.430642340618,5226,2404,2136,1828,427,760,604,351,725,1233,713,369,57,4892,379,0,110,630,113
11,District of Columbia,DC,11001,District of Columbia,11001007603,Census Tract 76.03; District of Columbia; District of Columbia,0.473598890832,3619,2392,2107,603,137,486,202,7,800,524,503,217,0,3519,279,0,0,641,30
11,District of Columbia,DC,11001,District of Columbia,11001007604,Census Tract 76.04; District of Columbia; District of Columbia,0.52879757716,3457,2054,1814,840,208,510,294,181,651,363,571,79,21,3252,876,0,19,503,20
11,District of Columbia,DC,11001,District of Columbia,11001007605,Census Tract 76.05; District of Columbia; District of Columbia,0.175210770988,3779,2135,1926,1223,178,1011,241,72,920,553,1159,130,0,3679,942,0,203,916,136
11,District of Columbia,DC,11001,District of Columbia,11001007703,Census Tract 77.03; District of Columbia; District of Columbia,0.392951835582,6923,2451,2340,2590,495,816,489,602,531,2391,645,568,124,6915,481,0,297,957,29
11,District of Columbia,DC,11001,District of Columbia,11001007707,Census Tract 77.07; District of Columbia; District of Columbia,0.325426456802,4131,2020,1808,1360,249,734,541,248,569,895,959,143,0,4021,337,0,140,658,33
11,District of Columbia,DC,11001,District of Columbia,11001007708,Census Tract 77.08; District of Columbia; District of Columbia,0.287958346518,2680,1279,1221,770,325,491,290,190,493,485,679,127,0,2677,444,0,150,702,18
11,District of Columbia,DC,11001,District of Columbia,11001007709,Census Tract 77.09; District of Columbia; District of Columbia,0.320029136944,2303,1348,1203,846,110,569,367,157,311,546,548,369,6,2269,297,0,104,683,48
